날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2024-02-29,         35,         11,         17,         37,         16,         21,         10,         37,         22,         23,         40,         24,         13,         17,         11,          8,         36
2024-02-28,         17,         12,         15,         22,         11,         11,         10,         19,         14,         13,         20,         14,         11,         15,         12,         10,         14
2024-02-27,          9,         13,         12,         12,         16,         10,         11,         10,         10,         11,         17,         14,         12,         14,         11,         10,         15
2024-02-26,         18,          8,         10,         27,         21,         18,          6,         21,          8,         17,         28,         23,         14,         12,          8,         12,         22
2024-02-25,         11,          6,          7,         14,          7,          9,          7,         11,          7,         10,         13,         10,          6,          9,          5,          6,         12
2024-02-24,          7,          9,          6,          8,          6,          6,          6,          7,          7,          7,          7,          7,          6,          9,          7,          6,          5
2024-02-23,          4,          8,          6,          6,          5,          5,          6,          5,          5,          7,          7,          5,          6,          9,          6,          6,          6
2024-02-22,          3,          5,          4,          4,          3,          3,          4,          3,          4,          4,          4,          3,          3,          6,          3,          4,          4
2024-02-21,          2,          4,          2,          2,          3,          2,          3,          2,          3,          3,          3,          3,          3,          5,          2,          3,          2
2024-02-20,         16,         11,          4,         18,         11,         14,          7,         16,          6,         16,         19,         16,          9,          7,          6,         11,         18
2024-02-19,          8,         15,         11,         10,          7,          8,          8,         10,          9,         10,         11,          9,          9,         12,         10,         14,          9
2024-02-18,         25,         19,         25,         29,          9,         19,         17,         29,         14,         23,         25,         15,         11,         22,         18,          6,         34
2024-02-17,         31,         14,         20,         28,         14,         15,         16,         31,         13,         19,         24,         21,         12,         20,         14,          8,         23
2024-02-16,         18,          9,         11,         19,         13,         13,          7,         17,          7,         13,         16,         16,         11,         12,          9,         11,         16
2024-02-15,         15,         12,         14,         12,          9,         12,          9,         14,         12,         16,         12,         13,          8,         15,         10,         11,         11
2024-02-14,         27,         18,         23,         24,         14,         19,         13,         27,         23,         26,         19,         15,         15,         23,         19,          9,         24
2024-02-13,         43,         25,         27,         44,         31,         28,         21,         41,         34,         30,         37,         29,         27,         28,         25,         20,         32
2024-02-12,         47,         34,         41,         48,         45,         37,         36,         48,         37,         46,         50,         45,         40,         43,         36,         32,         47
2024-02-11,         50,         48,         51,         43,         55,         39,         45,         47,         37,         43,         43,         49,         48,         48,         46,         48,         43
2024-02-10,         37,         22,         31,         40,         38,         34,         26,         36,         31,         33,         38,         37,         34,         37,         24,         51,         40
2024-02-09,         25,         32,         31,         24,         18,         25,         33,         25,         28,         33,         23,         21,         18,         32,         26,         15,         29
2024-02-08,         31,         22,         32,         31,         25,         33,         20,         33,         23,         40,         32,         31,         22,         30,         23,         15,         42
2024-02-07,         26,         16,         20,         28,         19,         21,         13,         28,         17,         26,         25,         22,         16,         19,         15,         17,         25
2024-02-06,         10,         12,          8,         14,          8,          9,         12,         11,          7,         11,         12,         10,          7,         11,          8,          6,         13
2024-02-05,          3,          5,          3,          5,          3,          2,          4,          3,          4,          4,          4,          4,          4,          7,          3,          5,          4
2024-02-04,         17,          7,          8,         24,          6,          6,          5,         18,         11,          8,         21,         12,          7,          9,          6,          6,         14
2024-02-03,         26,          9,         10,         33,         17,         20,          8,         32,         13,         28,         43,         28,         13,         11,         10,          6,         44
2024-02-02,         34,          8,         10,         36,         48,         26,          6,         38,         10,         25,         42,         36,         19,         10,          8,          7,         57
2024-02-01,         62,         32,         32,         65,         52,         61,         25,         63,         26,         53,         72,         62,         33,         30,         27,         13,         79
