날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-12-13,6,8,9,13,8,7,6,9,7,9,13,10,7,9.0,8,7,10
2023-12-14,5,9,13,8,9,7,11,7,6,9,10,8,6,13.0,11,7,6
2023-12-15,2,7,6,4,5,5,6,3,3,6,5,4,5,7.0,7,8,5
2023-12-16,9,6,6,11,8,5,7,8,6,8,8,6,5,7.0,4,8,7
2023-12-17,7,8,8,8,9,9,7,7,6,10,9,8,6,9.0,6,7,9
2023-12-18,7,8,9,9,9,9,7,9,7,12,11,9,8,9.0,7,7,12
2023-12-19,15,10,12,19,11,20,9,17,10,22,22,19,9,12.0,8,6,24
2023-12-20,27,17,23,27,15,21,19,25,24,27,21,19,12,23.0,14,15,24
2023-12-21,12,11,10,14,10,11,9,12,10,12,11,10,8,11.0,8,7,12
2023-12-22,11,10,10,12,12,11,8,11,10,12,13,12,9,10.0,9,7,12
2023-12-23,19,9,12,20,14,14,8,19,14,20,20,16,11,12.0,10,8,19
2023-12-24,28,17,20,28,20,20,16,28,16,27,30,23,17,19.0,17,19,31
2023-12-25,35,25,26,31,28,26,21,36,27,36,31,30,20,27.0,22,21,34
2023-12-26,35,26,27,36,25,24,21,35,26,33,28,25,18,24.0,23,24,32
2023-12-27,57,26,35,67,27,26,26,56,33,41,44,30,21,31.0,22,22,37
2023-12-28,40,33,44,39,37,38,35,49,34,50,49,39,26,41.0,29,22,47
2023-12-29,33,47,53,37,48,47,43,38,32,53,53,51,38,49.0,42,39,55
2023-12-30,31,47,65,35,48,59,41,42,42,66,63,52,39,55.0,48,28,68
2023-12-31,17,28,41,23,35,26,24,21,19,28,27,29,31,33.0,26,45,27
2024-01-01,20,13,19,30,21,17,12,21,15,22,24,20,19,19.0,14,25,20
2024-01-02,29,20,24,29,20,24,18,30,23,32,27,20,18,25.0,19,23,29
2024-01-03,29,27,32,32,25,30,27,33,27,39,35,29,21,33.0,23,22,35
2024-01-04,36,22,25,35,27,26,20,36,28,34,32,29,20,26.0,21,26,31
2024-01-05,56,30,36,55,36,42,24,57,43,50,59,47,25,35.0,26,23,53
2024-01-06,13,27,26,12,25,23,24,17,24,28,20,25,19,28.0,23,23,27
2024-01-07,14,13,13,14,10,11,12,13,11,15,13,11,9,14.0,10,12,14
2024-01-08,13,10,11,15,7,11,10,14,10,13,13,10,8,11.0,9,8,15
2024-01-09,25,20,25,29,15,16,18,26,21,24,21,15,14,20.0,20,10,27
2024-01-10,56,23,34,61,32,49,19,52,25,42,59,49,23,28.0,25,16,64
2024-01-11,50,28,35,52,31,31,21,53,31,42,48,37,24,30.0,28,10,49
2024-01-12,35,32,28,35,28,24,23,36,29,34,36,31,26,28.0,28,53,29
2024-01-13,13,18,14,15,13,13,14,15,13,16,17,16,13,14.0,17,16,20
2024-01-14,23,14,23,24,18,18,13,24,18,23,23,20,16,21.0,15,17,27
2024-01-15,10,17,17,9,11,12,22,11,16,18,10,11,10,21.0,15,10,12
2024-01-16,18,11,15,17,10,14,11,20,15,21,18,14,10,16.0,10,6,20
2024-01-17,27,20,38,33,17,24,18,32,18,32,33,21,18,24.0,23,8,40
2024-01-18,20,14,31,22,13,18,10,21,16,20,24,15,12,23.0,18,11,24
2024-01-19,8,12,11,11,11,10,9,8,8,10,12,12,11,12.0,10,8,9
2024-01-20,2,6,4,3,5,3,5,2,3,3,4,5,4,6.0,4,6,3
2024-01-21,10,6,6,13,6,7,5,10,4,6,10,8,5,7.0,4,6,9
2024-01-22,20,10,10,18,8,10,10,17,19,16,11,8,7,14.0,7,9,11
2024-01-23,12,8,9,11,7,10,9,11,15,14,10,8,6,13.0,6,6,11
2024-01-24,11,8,10,11,8,9,8,11,11,12,10,9,8,12.0,6,8,11
2024-01-25,12,14,12,12,9,12,13,13,14,16,14,12,9,16.0,11,10,14
2024-01-26,23,18,21,24,17,20,13,25,18,26,29,22,14,20.0,15,11,29
2024-01-27,37,27,29,35,24,31,24,40,31,42,37,29,20,30.0,25,27,43
2024-01-28,21,23,25,22,16,24,21,24,29,27,22,21,16,26.0,21,17,28
2024-01-29,32,27,25,34,17,24,24,33,24,31,30,24,16,26.0,22,19,31
2024-01-30,41,29,45,49,27,35,27,47,27,47,55,38,24,36.0,27,15,54
2024-01-31,41,29,41,54,21,34,26,47,27,38,53,35,19,34.0,25,12,52
2024-02-01,62,32,32,65,52,61,25,63,26,53,72,62,33,30.0,27,13,79
2024-02-02,34,8,10,36,48,26,6,38,10,25,42,36,19,10.0,8,7,57
2024-02-03,26,9,10,33,17,20,8,32,13,28,43,28,13,11.0,10,6,44
2024-02-04,17,7,8,24,6,6,5,18,11,8,21,12,7,9.0,6,6,14
2024-02-05,3,5,3,5,3,2,4,3,4,4,4,4,4,7.0,3,5,4
2024-02-06,10,12,8,14,8,9,12,11,7,11,12,10,7,11.0,8,6,13
2024-02-07,26,16,20,28,19,21,13,28,17,26,25,22,16,19.0,15,17,25
2024-02-08,31,22,32,31,25,33,20,33,23,40,32,31,22,30.0,23,15,42
2024-02-09,25,32,31,24,18,25,33,25,28,33,23,21,18,32.0,26,15,29
2024-02-10,37,22,31,40,38,34,26,36,31,33,38,37,34,37.0,24,51,40
2024-02-11,50,48,51,43,55,39,45,47,37,43,43,49,48,48.0,46,48,43
2024-02-12,47,34,41,48,45,37,36,48,37,46,50,45,40,43.0,36,32,47
2024-02-13,43,25,27,44,31,28,21,41,34,30,37,29,27,28.0,25,20,32
2024-02-14,27,18,23,24,14,19,13,27,23,26,19,15,15,23.0,19,9,24
