날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2024-08-31,         20,          9,         12,         22,         13,         15,         11,         18,          8,         17,         17,         17,         12,         12,         11,         13,         17
2024-08-30,          6,          5,          3,          9,          6,          5,          6,          7,          4,          6,          8,          7,          5,          7,          5,          8,          6
2024-08-29,          4,          4,          2,          7,          5,          4,          6,          5,          4,          5,          7,          5,          4,          6,          4,          8,          4
2024-08-28,          7,          5,          4,         10,          8,          5,          6,          8,          6,          7,          8,          7,          6,          7,          6,          9,          5
2024-08-27,         13,          9,         13,         18,         18,         15,         12,         13,          9,         12,         20,         21,         16,         12,         14,         13,         17
2024-08-26,         27,         24,         23,         30,         18,         19,         23,         24,         16,         21,         24,         21,         22,         22,         25,         20,         21
2024-08-25,         30,         35,         18,         29,         22,         18,         36,         23,         17,         22,         20,         22,         24,         24,         32,         23,         18
2024-08-24,         31,         28,         20,         33,         29,         26,         32,         27,         20,         23,         22,         28,         26,         23,         27,         25,         21
2024-08-23,         20,         14,         10,         22,         17,         13,         16,         17,         15,         13,         16,         18,         16,         12,         14,         31,         12
2024-08-22,          6,          5,          4,          8,          6,          3,          7,          5,          4,          4,          6,          6,          6,          7,          7,         11,          3
2024-08-21,          6,          4,          2,          7,          5,          3,          7,          4,          5,          4,          6,          5,          5,          6,          4,          6,          4
2024-08-20,         17,          6,          8,         24,         18,         12,          8,         16,          8,         12,         18,         15,         12,         11,         10,          7,         14
2024-08-19,         17,          9,         15,         29,         17,          9,         10,         17,          6,         11,         16,         15,         15,         13,         15,         15,         12
2024-08-18,         14,          5,          7,         21,          8,          6,          6,         12,          6,          8,         16,          9,          8,          8,          8,          7,         10
2024-08-17,         15,          6,          6,         25,          8,          7,          7,         14,          6,          7,         16,         10,          9,          8,          9,          7,          9
2024-08-16,         14,          6,          4,         18,          8,          5,          6,         12,          7,          6,         15,         11,          8,          7,          8,          6,          7
2024-08-15,         16,          4,          4,         21,          9,          7,          5,         13,          8,          9,         16,         14,          9,          7,          8,         10,          9
2024-08-14,         17,          6,          7,         21,         12,          7,          7,         14,          9,         10,         14,         15,         10,          9,          9,         10,          9
2024-08-13,         17,          8,          6,         16,         16,          8,          8,         15,          9,         12,         14,         14,         12,          9,         10,          9,         12
2024-08-12,         19,          7,          9,         16,         14,         15,          9,         17,         11,         16,         15,         17,         14,         11,         11,         10,         18
2024-08-11,         22,          7,          8,         20,          9,         13,          9,         17,         11,         14,         15,         15,         11,         11,         10,          9,         15
2024-08-10,         24,         10,         13,         25,         14,         17,         12,         20,         10,         17,         19,         17,         17,         14,         16,         12,         20
2024-08-09,         19,         15,         14,         19,         11,         13,         16,         16,         12,         17,         16,         14,         13,         15,         15,         14,         16
2024-08-08,         14,         20,         12,         13,         10,         12,         18,         11,         11,         14,         11,         12,         12,         15,         19,         11,         12
2024-08-07,         11,         16,         13,         12,         13,         11,         18,         11,          7,         12,         15,         15,         14,         13,         16,         13,         14
2024-08-06,         10,         11,          7,         13,         10,          8,         11,          8,          5,          7,          9,         11,         11,         10,         12,         11,          7
2024-08-05,         22,         12,         13,         21,         15,         10,         13,         16,         10,         12,         14,         13,         13,         13,         14,         13,         10
2024-08-04,         22,         17,         15,         19,         10,         14,         22,         18,         14,         17,         16,         12,         14,         19,         17,         10,         13
2024-08-03,         24,         19,         12,         18,         13,         17,         23,         18,         15,         19,         17,         16,         14,         17,         17,         11,         18
2024-08-02,         17,          9,         10,         18,         12,         12,         16,         13,         10,         11,         14,         14,         11,         12,         11,         10,         12
2024-08-01,          9,          6,          6,         10,          5,          6,         12,          7,          7,          6,          6,          6,          5,          9,          7,          6,          6
