날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2024-09-30,          6,          6,          6,          7,          8,          4,          8,          7,          5,          6,          7,          8,          7,          8,          7,          9,          5
2024-09-29,          4,          6,          4,          6,          7,          3,          7,          5,          4,          5,          5,          7,          6,          7,          6,          9,          4
2024-09-28,          5,          6,          4,          7,         16,          7,          8,          5,          5,          6,          7,         12,         11,          8,          7,         10,          6
2024-09-27,          9,          9,         12,         15,         15,         11,         12,         10,          7,         14,         15,         17,         12,         12,         12,         13,         12
2024-09-26,         10,          6,         10,         11,         11,          7,         10,         11,          7,          9,         11,         11,          9,         10,          9,          9,         10
2024-09-25,          8,          5,          6,         10,          8,          5,          7,          9,          5,          7,          9,          9,          6,          8,          7,          8,          6
2024-09-24,          5,          5,          5,          7,          7,          4,          6,          6,          4,          5,          6,          7,          5,          7,          5,          7,          5
2024-09-23,          3,          4,          3,          4,          5,          3,          5,          4,          4,          4,          4,          5,          4,          6,          4,          6,          3
2024-09-22,          2,          3,          2,          2,          3,          2,          5,          2,          3,          3,          3,          5,          3,          6,          3,          4,          3
2024-09-21,          2,          2,          2,          1,          2,          1,          4,          2,          2,          2,          2,          3,          3,          4,          2,          6,          2
2024-09-20,          7,          6,         10,          8,          4,          5,         10,          7,          6,          7,          6,          5,          4,         10,          7,          5,          6
2024-09-19,         13,          9,          9,         15,          8,          4,         16,         10,          6,          7,          8,          8,          8,         11,         10,          7,          6
2024-09-18,         10,          5,          7,         12,          9,          9,          9,          8,          6,          7,         11,          8,          9,          8,          7,          8,         10
2024-09-17,          6,          6,          3,          8,          8,          4,         14,          6,          5,          5,          7,          7,          8,          6,          7,          6,          5
2024-09-16,          3,          5,          2,          4,          5,          2,          7,          3,          3,          3,          4,          5,          4,          5,          4,          6,          3
2024-09-15,          6,          7,          7,          9,         10,          6,          8,          6,          4,          7,         10,         10,          9,          8,          8,          8,          7
2024-09-14,          6,          5,         15,          5,          8,          6,         11,          6,          5,          7,          7,          8,         11,         14,         11,          9,          6
2024-09-13,          8,          9,         17,          9,         11,          8,         15,          7,          6,          9,          8,         11,         11,         16,         14,          8,          7
2024-09-12,          6,         12,         13,         10,          8,          6,         14,          5,          3,          5,          6,          9,         10,         12,         14,          6,          4
2024-09-11,         22,          9,         15,         24,         10,         15,         13,         18,         11,         14,         16,         14,          7,         16,         10,          5,         16
2024-09-10,         21,          7,         10,         23,         14,         11,         10,         19,          9,         11,         20,         20,         12,         10,         10,         11,         15
2024-09-09,         20,          7,          8,         24,         18,         14,          7,         19,          8,         13,         20,         21,         15,          9,         13,         17,         18
2024-09-08,         22,         19,         14,         23,         10,          9,         16,         19,         10,         15,         16,         13,         12,         11,         21,         19,         14
2024-09-07,         14,         14,         12,         15,         11,          7,         13,         12,          7,          8,         12,         15,         13,         10,         15,         21,          9
2024-09-06,          8,         14,          8,         11,         15,         11,         15,          8,          6,         10,         13,         14,         14,         11,         15,         18,         12
2024-09-05,         13,          9,         11,         13,         12,         10,         12,         12,          9,         10,         12,         13,          9,         11,         11,         13,         10
2024-09-04,         10,          5,          5,         12,         10,          4,          6,          8,          5,          5,         10,         10,          7,          7,          7,          9,          5
2024-09-03,          5,          7,          4,          8,         15,          6,          7,          5,          4,          6,         11,         13,         12,          7,         10,         12,          6
2024-09-02,         12,         16,         16,         14,         17,         13,         18,         13,         13,         18,         15,         18,         14,         17,         17,         17,         16
2024-09-01,         20,          7,         12,         19,         15,         16,          9,         19,         13,         17,         19,         18,         13,         12,         12,         14,         18
